"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2003","100.530","100.390","100.790","100.400","0.50K","0.06%"
"Jan 21, 2003","100.470","101.120","101.260","100.400","1.00K","-0.42%"
"Jan 17, 2003","100.890","101.030","101.100","100.620","0.60K","-0.23%"
"Jan 16, 2003","101.120","101.480","101.620","100.950","0.64K","-0.56%"
"Jan 15, 2003","101.690","101.750","102.030","101.370","0.70K","0.16%"
"Jan 14, 2003","101.530","101.700","101.710","101.300","0.52K","-0.29%"
"Jan 13, 2003","101.830","101.710","102.000","101.650","0.48K","0.27%"
"Jan 10, 2003","101.560","102.150","102.230","101.550","1.00K","-0.71%"
"Jan 09, 2003","102.290","101.910","102.550","101.950","0.72K","0.05%"
"Jan 08, 2003","102.240","102.850","103.340","101.820","1.04K","-0.68%"
"Jan 07, 2003","102.940","102.670","103.070","102.600","0.95K","0.54%"
"Jan 06, 2003","102.390","102.600","102.660","102.120","1.02K","-0.46%"
"Jan 03, 2003","102.860","103.360","103.560","102.720","0.88K","-0.59%"
"Jan 02, 2003","103.470","102.710","103.670","102.400","3.28K","1.18%"
"Dec 31, 2002","102.260","102.530","102.650","102.260","0.82K","-0.20%"
"Dec 30, 2002","102.460","102.830","102.930","102.440","2.02K","-0.31%"
"Dec 27, 2002","102.780","103.180","103.320","102.780","0.63K","-0.41%"
"Dec 26, 2002","103.200","103.350","103.550","103.180","0.88K","-0.46%"
"Dec 24, 2002","103.680","103.920","104.050","103.560","0.54K","-0.38%"
"Dec 23, 2002","104.080","103.620","104.480","103.520","1.30K","0.08%"
"Dec 20, 2002","104.000","103.940","104.120","103.900","0.44K","0.02%"
"Dec 19, 2002","103.980","104.090","104.480","103.820","1.18K","-0.12%"
"Dec 18, 2002","104.100","104.150","104.400","104.020","1.39K","0.10%"
"Dec 17, 2002","104.000","103.940","104.380","103.580","3.28K","-0.50%"
"Dec 16, 2002","104.520","104.330","104.780","104.340","1.24K","0.52%"
